   [VAD] 能量: 55065.76 | 状态: 录音中
   [VAD] 能量: 12118.67 | 状态: 录音中
   [VAD] 能量: 5246.43 | 状态: 录音中
   [VAD] 能量: 982049.50 | 状态: 录音中
   [VAD] 能量: 1413146.20 | 状态: 录音中
   [VAD] 能量: 2483679.60 | 状态: 录音中
   [VAD] 能量: 1836816.20 | 状态: 录音中
   [VAD] 能量: 2052269.60 | 状态: 录音中
   [VAD] 能量: 1891969.20 | 状态: 录音中
   [VAD] 能量: 1488751.20 | 状态: 录音中
   [VAD] 能量: 2267124.80 | 状态: 录音中
   [VAD] 能量: 1414445.10 | 状态: 录音中
   [VAD] 能量: 1853912.40 | 状态: 录音中
   [VAD] 能量: 1890431.40 | 状态: 录音中
   [VAD] 能量: 1468524.10 | 状态: 录音中
   [VAD] 能量: 2181153.80 | 状态: 录音中
   [VAD] 能量: 1404924.20 | 状态: 录音中
   [VAD] 能量: 1887802.56 | 状态: 录音中
   [VAD] 能量: 1903374.40 | 状态: 录音中
   [VAD] 能量: 2504088.40 | 状态: 录音中
   [VAD] 能量: 2335738.20 | 状态: 录音中
   [VAD] 能量: 1514658.10 | 状态: 录音中
   [VAD] 能量: 3118408.80 | 状态: 录音中
   [VAD] 能量: 2082718.04 | 状态: 录音中
   [VAD] 能量: 1516346.90 | 状态: 录音中
   [VAD] 能量: 3225688.80 | 状态: 录音中
   [VAD] 能量: 1641355.20 | 状态: 录音中
   [VAD] 能量: 2076987.44 | 状态: 录音中
   [VAD] 能量: 2713885.20 | 状态: 录音中
   [VAD] 能量: 1588771.40 | 状态: 录音中
   [VAD] 能量: 2403150.80 | 状态: 录音中
   [VAD] 能量: 1866055.20 | 状态: 录音中
   [VAD] 能量: 2070830.56 | 状态: 录音中
   [VAD] 能量: 2120937.80 | 状态: 录音中
   [VAD] 能量: 1507614.00 | 状态: 录音中
   [VAD] 能量: 2561661.00 | 状态: 录音中
   [VAD] 能量: 1706381.20 | 状态: 录音中
   [VAD] 能量: 3253742.40 | 状态: 录音中
   [VAD] 能量: 2387664.40 | 状态: 录音中
   [VAD] 能量: 1636730.00 | 状态: 录音中
   [VAD] 能量: 2479566.40 | 状态: 录音中
   [VAD] 能量: 1675282.50 | 状态: 录音中
   [VAD] 能量: 2113586.00 | 状态: 录音中
   [VAD] 能量: 2267909.60 | 状态: 录音中
   [VAD] 能量: 2726799.80 | 状态: 录音中
   [VAD] 能量: 2697533.60 | 状态: 录音中
   [VAD] 能量: 1845606.80 | 状态: 录音中
   [VAD] 能量: 2839691.60 | 状态: 录音中
   [VAD] 能量: 2206164.80 | 状态: 录音中
   [VAD] 能量: 1479780.00 | 状态: 录音中
   [VAD] 能量: 2490437.00 | 状态: 录音中
   [VAD] 能量: 2824000.40 | 状态: 录音中
   [VAD] 能量: 2177080.80 | 状态: 录音中
   [VAD] 能量: 2355775.80 | 状态: 录音中
   [VAD] 能量: 2345938.40 | 状态: 录音中
   [VAD] 能量: 2656382.00 | 状态: 录音中
   [VAD] 能量: 1791340.56 | 状态: 录音中
   [VAD] 能量: 2454498.80 | 状态: 录音中
   [VAD] 能量: 2330543.60 | 状态: 录音中
   [VAD] 能量: 1538829.90 | 状态: 录音中
   [VAD] 能量: 2670299.00 | 状态: 录音中
