E:\PetAI\Project\.venv\Scripts\python.exe E:\PetAI\Project\cleanbot\capture_img_client.py
灰度图像接收客户端
服务器: 192.168.4.1:5000
----------------------------------------
尝试连接到 192.168.4.1:5000
连接成功!
图像将保存到: FRAME_QQVGA
开始接收灰度图像...
按 Ctrl+C 停止接收

  -> 保存第 1 帧: FRAME_QQVGA/frame_000001_20260213_120644.png (4.1 KB)
  -> 保存第 2 帧: FRAME_QQVGA/frame_000002_20260213_120644.png (13.5 KB)
  -> 保存第 3 帧: FRAME_QQVGA/frame_000003_20260213_120644.png (13.6 KB)
  -> 保存第 4 帧: FRAME_QQVGA/frame_000004_20260213_120644.png (13.5 KB)
  -> 保存第 5 帧: FRAME_QQVGA/frame_000005_20260213_120644.png (13.5 KB)
[12:06:45] 接收: 14帧 | FPS:  14 | 已保存: 13张 | 速率:  239.1 KB/s
[12:06:46] 接收: 27帧 | FPS:  13 | 已保存: 26张 | 速率:  239.3 KB/s
[12:06:47] 接收: 38帧 | FPS:  11 | 已保存: 37张 | 速率:  227.8 KB/s
[12:06:48] 接收: 52帧 | FPS:  14 | 已保存: 51张 | 速率:  232.0 KB/s
[12:06:49] 接收: 65帧 | FPS:  13 | 已保存: 64张 | 速率:  229.5 KB/s
[12:06:50] 接收: 77帧 | FPS:  12 | 已保存: 76张 | 速率:  228.7 KB/s
[12:06:51] 接收: 90帧 | FPS:  13 | 已保存: 89张 | 速率:  230.3 KB/s
[12:06:52] 接收: 103帧 | FPS:  13 | 已保存: 102张 | 速率:  230.3 KB/s
[12:06:53] 接收: 116帧 | FPS:  13 | 已保存: 115张 | 速率:  231.6 KB/s
[12:06:54] 接收: 129帧 | FPS:  13 | 已保存: 128张 | 速率:  231.1 KB/s
[12:06:55] 接收: 142帧 | FPS:  13 | 已保存: 141张 | 速率:  231.6 KB/s
[12:06:56] 接收: 155帧 | FPS:  13 | 已保存: 154张 | 速率:  231.5 KB/s
[12:06:57] 接收: 168帧 | FPS:  13 | 已保存: 167张 | 速率:  231.6 KB/s
[12:06:58] 接收: 181帧 | FPS:  13 | 已保存: 180张 | 速率:  232.0 KB/s
[12:06:59] 接收: 193帧 | FPS:  12 | 已保存: 192张 | 速率:  231.1 KB/s
[12:07:00] 接收: 206帧 | FPS:  13 | 已保存: 205张 | 速率:  231.5 KB/s
[12:07:01] 接收: 220帧 | FPS:  14 | 已保存: 219张 | 速率:  232.1 KB/s
[12:07:02] 接收: 232帧 | FPS:  12 | 已保存: 231张 | 速率:  231.0 KB/s
[12:07:03] 接收: 245帧 | FPS:  13 | 已保存: 244张 | 速率:  231.6 KB/s
[12:07:04] 接收: 258帧 | FPS:  13 | 已保存: 257张 | 速率:  231.9 KB/s
[12:07:06] 接收: 271帧 | FPS:  13 | 已保存: 270张 | 速率:  232.0 KB/s
[12:07:07] 接收: 284帧 | FPS:  13 | 已保存: 283张 | 速率:  232.0 KB/s
[12:07:08] 接收: 297帧 | FPS:  13 | 已保存: 296张 | 速率:  232.3 KB/s
[12:07:09] 接收: 310帧 | FPS:  13 | 已保存: 309张 | 速率:  232.2 KB/s
[12:07:10] 接收: 323帧 | FPS:  13 | 已保存: 322张 | 速率:  232.6 KB/s
[12:07:11] 接收: 336帧 | FPS:  13 | 已保存: 335张 | 速率:  232.5 KB/s
[12:07:12] 接收: 349帧 | FPS:  13 | 已保存: 348张 | 速率:  232.5 KB/s
[12:07:13] 接收: 363帧 | FPS:  14 | 已保存: 362张 | 速率:  232.6 KB/s
[12:07:14] 接收: 376帧 | FPS:  13 | 已保存: 375张 | 速率:  232.9 KB/s
[12:07:15] 接收: 387帧 | FPS:  11 | 已保存: 386张 | 速率:  231.9 KB/s
[12:07:16] 接收: 400帧 | FPS:  13 | 已保存: 399张 | 速率:  232.1 KB/s
[12:07:17] 接收: 413帧 | FPS:  13 | 已保存: 412张 | 速率:  232.2 KB/s
[12:07:18] 接收: 426帧 | FPS:  13 | 已保存: 425张 | 速率:  232.5 KB/s
[12:07:19] 接收: 439帧 | FPS:  13 | 已保存: 438张 | 速率:  232.5 KB/s
[12:07:20] 接收: 452帧 | FPS:  13 | 已保存: 451张 | 速率:  232.3 KB/s
[12:07:21] 接收: 465帧 | FPS:  13 | 已保存: 464张 | 速率:  232.3 KB/s
[12:07:22] 接收: 478帧 | FPS:  13 | 已保存: 477张 | 速率:  232.2 KB/s
[12:07:23] 接收: 491帧 | FPS:  13 | 已保存: 490张 | 速率:  232.1 KB/s
